individual,observation_date,type,species,urban_gradient,temperature,light,condition,condition_sequence,light_2,start_line,finish_line,duration_from_light,duration_from_start,condition2
42,15/05/2024,Native,Lasioglossum (Chilalictus),Natural,28,white,28 / white,4,14.3,72.567,96,23.433,81.767,28 / white / Natural
43,15/05/2024,Native,Lasioglossum (Chilalictus),Natural,32,UV,32 / UV,2,11.533,,,,120,32 / UV / Natural
43,15/05/2024,Native,Lasioglossum (Chilalictus),Natural,32,white,32 / white,1,12.467,,,,120,32 / white / Natural
43,15/05/2024,Native,Lasioglossum (Chilalictus),Natural,28,UV,28 / UV,3,5.433,7.667,18.533,10.866,13.034,28 / UV / Natural
43,15/05/2024,Native,Lasioglossum (Chilalictus),Natural,28,white,28 / white,4,13.467,,,,120,28 / white / Natural
44,15/05/2024,Native,Lasioglossum (Chilalictus),Natural,32,UV,32 / UV,2,10.367,23.033,24.033,1,13.733,32 / UV / Natural
44,15/05/2024,Native,Lasioglossum (Chilalictus),Natural,32,white,32 / white,1,14.467,52.167,88.267,36.1,73.8,32 / white / Natural
44,15/05/2024,Native,Lasioglossum (Chilalictus),Natural,28,UV,28 / UV,4,10.167,22.5,23.933,1.433,13.733,28 / UV / Natural
44,15/05/2024,Native,Lasioglossum (Chilalictus),Natural,28,white,28 / white,3,5.433,16.4,23.867,7.467,18.434,28 / white / Natural
45,15/05/2024,Native,Lasioglossum (Chilalictus),Natural,32,UV,32 / UV,1,14.533,18.6,24.533,5.933,9.967,32 / UV / Natural
45,15/05/2024,Native,Lasioglossum (Chilalictus),Natural,32,white,32 / white,2,15.633,16.1,28.733,12.633,13.067,32 / white / Natural
45,15/05/2024,Native,Lasioglossum (Chilalictus),Natural,28,UV,28 / UV,4,12.267,12.333,24.967,12.634,12.7,28 / UV / Natural
45,15/05/2024,Native,Lasioglossum (Chilalictus),Natural,28,white,28 / white,3,8.767,11.433,36.267,24.834,27.533,28 / white / Natural
46,15/05/2024,Native,Lasioglossum (Homalictus),Natural,32,UV,32 / UV,2,28.467,40.167,55.933,15.766,27.466,32 / UV / Natural
46,15/05/2024,Native,Lasioglossum (Homalictus),Natural,32,white,32 / white,1,12.4,18.2,26.1,7.9,13.733,32 / white / Natural
46,15/05/2024,Native,Lasioglossum (Homalictus),Natural,28,UV,28 / UV,4,11.467,22.533,32.3,9.767,20.9,28 / UV / Natural
46,16/05/2024,Native,Lasioglossum (Homalictus),Natural,28,white,28 / white,3,14.433,15.567,24.033,8.466,9.6,28 / white / Natural
47,16/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,1,12.867,16.6,37.333,20.733,24.4,32 / UV / Urban
47,16/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,2,19.967,26.333,47.167,20.834,27.2,32 / white / Urban
47,16/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,4,53.667,54.733,66.7,11.967,13.033,28 / UV / Urban
47,16/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,3,23.733,25.967,46.867,20.9,23.134,28 / white / Urban
48,16/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,1,34.967,36.3,43.867,7.567,8.9,32 / UV / Urban
48,16/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,2,37.1,41.267,56.1,14.833,19.033,32 / white / Urban
48,16/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,3,13.9,18.3,30.567,12.267,16.667,28 / UV / Urban
48,16/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,4,24.433,30.733,47.2,16.467,22.734,28 / white / Urban
49,16/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,1,38.367,46.433,52.967,6.534,14.633,32 / UV / Urban
49,16/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,2,13.7,16.467,22.267,5.8,8.567,32 / white / Urban
49,16/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,4,11.333,89.267,111.733,22.466,100.3,28 / UV / Urban
49,16/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,3,32.633,36.733,47.6,10.867,14.967,28 / white / Urban
50,16/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,1,11.567,30.233,66.833,36.6,55.333,32 / UV / Urban
50,16/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,2,11.567,70.933,,,120,32 / white / Urban
50,16/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,4,12.233,13.533,16.233,2.7,4,28 / UV / Urban
50,16/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,3,13.933,14.067,14.233,0.166,0.267,28 / white / Urban
51,16/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,3,16,42.1,62.167,20.067,46.233,32 / UV / Urban
51,16/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,4,20.433,21.4,28.167,6.767,7.767,32 / white / Urban
51,16/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,1,18.267,21.3,33.667,12.367,15.333,28 / UV / Urban
51,16/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,2,45.267,48.133,85.167,37.034,39.9,28 / white / Urban
53,27/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,4,8.067,10.933,18.967,8.034,10.933,32 / UV / Urban
53,27/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,3,5.833,6.133,7.3,1.167,1.467,32 / white / Urban
53,27/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,1,6.8,12.033,16.467,4.434,9.633,28 / UV / Urban
53,27/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,2,9.433,15.833,25.2,9.367,15.834,28 / white / Urban
54,27/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,3,11.733,12.3,24.5,12.2,12.767,32 / UV / Urban
54,27/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,4,10.867,32.633,41.667,9.034,30.766,32 / white / Urban
54,27/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,2,7.8,8.167,9.433,1.266,1.633,28 / UV / Urban
54,27/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,1,15.067,17.533,19.8,2.267,4.766,28 / white / Urban
55,27/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,3,7.067,7.433,10.033,2.6,3.033,32 / UV / Urban
55,27/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,4,9.233,9.6,30.767,21.167,21.6,32 / white / Urban
55,27/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,2,7.9,9.267,12.7,3.433,4.833,28 / UV / Urban
55,27/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,1,16.733,19.133,21.767,2.634,5.034,28 / white / Urban
58,27/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,4,5.733,6.8,11.8,5,6.134,32 / UV / Urban
58,27/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,3,6.767,7.867,11.8,3.933,5,32 / white / Urban
58,27/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,1,7.433,8.667,10.533,1.866,3.134,28 / UV / Urban
58,27/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,2,6.833,8.033,10.1,2.067,3.3,28 / white / Urban
59,27/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,4,5.067,12.7,20.967,8.267,15.933,32 / UV / Urban
